FIPS1,FIPS2,1 Month Prior Intra-Mobility,1 Month Prior Inter-Mobility,2wk Prior Intra-Mobility,2wk Onset Intra-Mobility,2wk Post Intra-Mobility,2wk Prior Inter-Mobility,2wk Onset Inter-Mobility,2wk Post Inter-Mobility,Density per square mile of land area - Population,Rural-urban_Continuum Code_2013,Percent of adults with less than a high school diploma 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,Unemployment_rate_2018,Med_HH_Income_Percent_of_State_Total_2018,Total_age65plus,Total households!!Average household size,SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school preschool,SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten,SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8),SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12),SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school,POP_ESTIMATE_2018,Area in square miles - Land area,NursingCt,HospCt,Hispanic Population,Black Population,Outbreak Month Temp AVG / F,Time from outbreak to intervention,Time from outbreak to national intervention,Time from national intervention to outbreak,Deaths,normalized_deaths
1003.0,1097.0,-0.3426968293471923,0.2045494319691549,1.2514516295862708,0.9071122664692038,1.2514516295862708,2.1455530249145447,1.4234195901597873,2.1455530249145447,0.027059303771239867,1.0683918042998852,-0.7573022937266409,0.6477135591205336,-0.7943258582181246,0.9920345595246484,0.793987940356312,0.05932977654001643,-0.6494746549029835,-1.2267609869147706,0.16946346337474694,-0.20289229303680653,-0.539650838614335,-0.23138675950238216,0.20695452074403956,0.5958054941576651,-0.72707440072334,0.23799513601934597,-2.0553804766073354,-0.057588818324258495,-1.36791671537606,-1.0509861400702578,1.2947039471108654,-33.0,-6.673806551393358e-05
1003.0,12033.0,1.0725021390485994,0.9046646067041776,2.3356369515770607,1.6749804194208333,2.3356369515770607,2.5625061192071086,1.7852622803480218,2.5625061192071086,-0.001237841319345247,1.0683918042998852,0.1268269524168032,0.37896340307810644,0.022775112829368418,0.8590240843388542,0.6745716589095732,0.2764171806581938,-0.13681774186853804,-1.7678435596759838,1.0539694506757393,0.21539925238184535,-1.1351861567721775,-0.14608046887949155,0.5247087132728426,0.3646254235116978,-1.33973526913201,-0.01876605783240699,-1.0787380698978706,-0.057588818324258495,-0.6816039399335102,0.021852414818707484,1.2947039471108654,-5.0,-7.341377800100096e-06
1051.0,1101.0,1.6748928181177258,2.8807983821376504,3.0535644653694254,2.6995760912399587,3.0535644653694254,5.265570394923465,5.002505715140331,5.265570394923465,0.040786429474757746,-0.00183572474965616,-0.12303566062373542,-0.5808585827877054,-0.45386712028166926,0.7725672754680882,0.004968073653547351,0.31259841467788924,0.6138419370373585,-1.564060959401202,-0.7620232672552938,0.6219883069760217,-0.4129093923250173,-0.18634742120674383,-0.0848072479587573,1.486581712907129,-2.0460787199260433,0.04349453460973253,-2.844225114867582,1.1789639447788625,-1.8254585656710935,0.021852414818707484,2.8392594665746227,1.0,5.890711164653632e-05
1125.0,1073.0,0.5514832534298459,1.1072704473376254,-1.6514629427073921,-1.604922055132626,-1.6514629427073921,-1.794418589576204,-1.6438331917561568,-1.794418589576204,0.18757034379570778,-2.142290782848739,-0.2191366656393268,0.16396327824416437,-0.04531663475792272,0.22057380344704225,0.48411546725008725,-0.5557512017948202,0.24357347308873073,0.23922294824317633,0.46529033843436707,0.3546040657872209,-1.9611629759756386,0.32976940272463756,-0.10959626748131919,-1.0757094629181063,-1.8315441929320526,0.09920049352832913,0.8657783167396438,-1.4565171967843535,2.2924180869842066,1.0946909697076728,-3.101338685209059,19.0,-1.0421162141852727e-05
1081.0,13215.0,2.049380447257273,3.1732864621596044,1.3682733907091387,1.2962074072444036,1.3682733907091387,1.4612975903212493,1.808261425266209,1.4612975903212493,-0.0753884027950147,1.0683918042998852,-0.5843204846985753,0.6093206796859012,-1.0666928485672886,0.6761346809583874,-0.27758402155761747,0.34877964869758626,-0.4229700406151362,-1.0277930700093156,-0.7790634256578682,-0.12365484593859265,2.247776601432131,-0.08763676206045554,0.2240406435961678,0.22078995143537775,-2.633390134988837,-0.2729569182563007,-1.8708639476815712,-0.17000270587908745,0.38599371075490085,0.8264813309854314,-0.1310396093172181,15.0,9.814187878754566e-05
1095.0,1089.0,0.043144031488649016,-0.8504279784182303,-0.8021797908403426,-0.6640827813804339,-0.8021797908403426,-1.9150483140158658,-1.7789480479629394,-1.9150483140158658,0.1413556872605309,-2.142290782848739,-1.9297345549168599,1.7303927591771693,0.022775112829368418,1.2248028910997881,-0.36845542439663787,-1.0261072440508703,0.7048174762594223,1.164261397075951,-1.242941621923407,-0.8496288452612928,1.1244069034292126,0.17345834645454578,0.13786136767209367,-2.429725734315174,0.18928884411325603,-0.7700331228802615,1.661478212107298,-0.10755054612640459,0.6147646359024175,0.021852414818707484,-0.9627233505669335,-4.0,-7.232533651928365e-05
28059.0,1097.0,0.5972844762714374,-0.3806415865747232,0.41766524284719936,0.03995105758729133,0.41766524284719936,-0.36649359903140316,-0.624136170700748,-0.36649359903140316,0.11472024686037163,-0.00183572474965616,0.549671374485407,0.16396327824416437,-0.5900506154562513,-0.8834131405950487,0.06809148587511062,-0.5919324358145156,1.6168430926248194,0.8112878996090302,-1.4701269705266284,-0.4539834957859195,0.10010741236657482,0.1735191411802577,0.2881149907021365,-0.5197389952797027,-1.2761862473344119,-0.27249823348112484,1.0884317518117146,0.042334637280035475,0.38599371075490085,0.5582716922631901,-0.012227646281544456,33.0,5.238130030886318e-05
4001.0,4017.0,-0.8351830262668593,-0.8595141021790049,-0.7911111165235286,-0.8169411118711353,-0.7911111165235286,-0.7534911293015298,-0.7812063686722206,-0.7534911293015298,0.07929462947462636,2.1386193333494266,0.6457723795009984,-0.3121084267452781,1.520793559749772,-0.33474493045364795,-0.5217821875932015,0.34877964869758626,-0.15620879083808606,3.1085332221622832,-0.36789491901980764,1.3456751327715073,0.15231781335780217,-0.09493907711453925,0.6987198664224952,-0.6423886130614642,-0.4284233255779181,-0.3801663273974871,-0.030321376245329316,-0.35735918513713594,0.0047088355090397944,0.021852414818707484,-0.012227646281544456,-13.0,-9.335661798034929e-05
4001.0,35031.0,-0.2821514082348195,-0.08953798929465825,-0.3596640248561101,-0.14767213023435946,-0.3596640248561101,-0.337253956609234,-0.11517879142643789,-0.337253956609234,0.07874072791115107,1.0683918042998852,-0.7765224947297595,0.010391760505634645,1.9974357928608095,-0.43117752496334893,0.5423616868593387,-0.37484503169633665,-1.213604784507753,0.396434257863233,-0.14937686273132003,0.2209013571697472,-0.27004359787238147,-0.06180160912113251,3.194597028691782,0.8860673206655864,-2.0251571433580353,-0.6552572837096714,-0.003354717175926173,0.1922198206864729,0.6147646359024175,0.15595723417982815,-0.9627233505669335,-31.0,-0.000428373760648974
35045.0,4001.0,-1.849027212246431,-1.0388598214550357,-1.8637959281980738,-1.6648955957300253,-1.8637959281980738,-1.125594096508973,-0.9845785075628842,-1.125594096508973,0.07621204686050304,3.2088468623989677,0.9148551935446549,-0.266036971423719,2.882628511495594,-1.3156971849488797,0.069814319532521,1.5065791373278654,-1.3013237868517553,1.777437699417168,0.9745453794713222,0.7101278450623378,-0.5005196079261908,-0.10761738291372026,3.159515297707504,0.465443932151611,-1.0356137974452786,-1.2232189260617647,-0.013088936750497583,-0.24494529758230701,0.38599371075490085,0.15595723417982815,-0.6062874614599125,-57.0,-0.00042620900525566335
